Grade Distribution for Spring 2015 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 4/14/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Incomplete,Total Grades for Course,,,,,,,,
2015 Fall,African American Studies,AFRICAM,African American Studies,R1A,002,Fresh Composition,Aparajita Nanda,00503,,4,4,6,2,,,2,,,,,,,18,,,,,,,,
2015 Fall,African American Studies,AFRICAM,African American Studies,R1B,001,Freshmn Composition,Aparajita Nanda,00509,,5,5,2,3,,,,,,,,,,15,,,,,,,,
2015 Fall,African American Studies,AFRICAM,African American Studies,R1B,002,Freshmn Composition,Gabrielle Williams; Leigh Raiford,00515,,1,6,2,2,2,,,,,1,,,,14,,,,,,,,
2015 Fall,African American Studies,AFRICAM,African American Studies,4A,001,Africa: Hist & Cul,G. Ugo Nwokeji,00521,,7,16,10,7,6,,,,3,,,1,1,61,,,,,,,,
2015 Fall,African American Studies,AFRICAM,African American Studies,5A,001,Afam Life & Cul U S,Leigh Raiford; Michael Mcgee,00533,,22,18,11,5,1,,,,,1,,,,60,,,,,,,,
2015 Fall,African American Studies,AFRICAM,African American Studies,11A,001,Elementary Swahili,David Kyeu,00548,1,4,2,4,,,,,,,,,,,11,,,,,,,,
2015 Fall,African American Studies,AFRICAM,African American Studies,27AC,001,Lives/Strug/Maj Cul,Michael Cohen,00557,,37,30,12,10,5,1,,,,,,3,2,118,,,,,,,,
2015 Fall,African American Studies,AFRICAM,African American Studies,98,007,Directed Group Stdy,Leigh Raiford; Sonya Dugas,00593,,,,,,,,,,,,,,,27,,,,,,,,
2015 Fall,African American Studies,AFRICAM,African American Studies,100,001,Black Intllctl Thgh,Leigh Raiford,00620,,3,7,4,4,,1,,,,,1,,1,23,,,,,,,,
2015 Fall,African American Studies,AFRICAM,African American Studies,111,001,Race Class Gen U S,Stephen Small,00626,3,9,5,7,5,4,,1,,,,,1,1,45,,,,,,,,
2015 Fall,African American Studies,AFRICAM,African American Studies,116,001,Slavery And African,Mariko Pegs; Ula Taylor,00629,,5,10,8,5,1,5,2,1,2,1,1,1,,48,,,,,,,,
2015 Fall,African American Studies,AFRICAM,African American Studies,126,001,Africn Am Women His,Ula Taylor,00635,,1,1,3,2,2,1,,,,,,,,12,,,,,,,,
2015 Fall,African American Studies,AFRICAM,African American Studies,C133A,001,Race Urban Sch,Kihana Ross; Matthew Horton; Nailah Suad-Bakari,00638,5,7,1,,,,,,,,,,,1,14,,,,,,,,
2015 Fall,African American Studies,AFRICAM,African American Studies,C134,001,Info Tech And Soc,Michel Laguerre,00641,,9,4,,1,,,,,,,,,,14,,,,,,,,
2015 Fall,African American Studies,AFRICAM,African American Studies,137,001,Multicultural Comm,Michel Laguerre,00644,,14,,2,,,,,,,,,,1,17,,,,,,,,
2015 Fall,African American Studies,AFRICAM,African American Studies,139,001,Sel Top:Africam Soc,Nikki Jones,00647,9,26,10,3,3,,,,,,,,1,,53,,,,,,,,
2015 Fall,African American Studies,AFRICAM,African American Studies,139,002,Sel Top:Africam Soc,Hardy Frye; Sonya Dugas,00649,,1,1,4,,1,,1,,,,,,,11,,,,,,,,
2015 Fall,African American Studies,AFRICAM,African American Studies,144,001,Cultural Studies,Leigh Raiford,00653,,5,8,5,5,2,1,2,1,,1,,1,,33,,,,,,,,
